Date,Year,Month,Monthly_Rainfall
2005-06-01,2005,6,279.20000000000005
2005-07-01,2005,7,28.299999999999997
2005-08-01,2005,8,21.200000000000003
2005-09-01,2005,9,53.50000000000001
2005-10-01,2005,10,399.9999999999999
2005-11-01,2005,11,264.4
2005-12-01,2005,12,58.00000000000001
2006-01-01,2006,1,60.9
2006-02-01,2006,2,61.8
2006-03-01,2006,3,101.50000000000001
2006-04-01,2006,4,222.5
2006-05-01,2006,5,298.70000000000005
2006-06-01,2006,6,282.1
2006-07-01,2006,7,186.29999999999998
2006-08-01,2006,8,15.3
2006-09-01,2006,9,174.09999999999997
2006-10-01,2006,10,179.20000000000002
2006-11-01,2006,11,79.30000000000001
2006-12-01,2006,12,95.1
2007-01-01,2007,1,2.3000000000000003
2007-02-01,2007,2,21.1
2007-03-01,2007,3,192.70000000000002
2007-04-01,2007,4,196.1
2007-05-01,2007,5,187.2
2007-06-01,2007,6,237.0
2007-07-01,2007,7,257.90000000000003
2007-08-01,2007,8,101.50000000000001
2007-09-01,2007,9,324.9
2007-10-01,2007,10,385.00000000000006
2007-11-01,2007,11,153.0
2007-12-01,2007,12,73.6
2008-01-01,2008,1,21.000000000000004
2008-02-01,2008,2,107.19999999999999
2008-03-01,2008,3,289.8
2008-04-01,2008,4,242.20000000000002
2008-05-01,2008,5,374.4
2008-06-01,2008,6,220.3
2008-07-01,2008,7,310.7
2008-08-01,2008,8,86.5
2008-09-01,2008,9,105.8
2008-10-01,2008,10,169.00000000000003
2008-11-01,2008,11,142.70000000000002
2008-12-01,2008,12,63.00000000000001
2009-01-01,2009,1,5.4
2009-02-01,2009,2,99.80000000000001
2009-03-01,2009,3,65.0
2009-04-01,2009,4,74.39999999999999
2009-05-01,2009,5,259.1
2009-06-01,2009,6,394.79999999999995
2009-07-01,2009,7,249.89999999999998
2009-08-01,2009,8,35.4
2009-09-01,2009,9,43.50000000000001
2009-10-01,2009,10,42.3
2009-11-01,2009,11,196.4
2009-12-01,2009,12,78.3
2010-01-01,2010,1,69.9
2010-02-01,2010,2,116.5
2010-03-01,2010,3,173.60000000000002
2010-04-01,2010,4,249.9
2010-05-01,2010,5,179.00000000000003
2010-06-01,2010,6,145.70000000000002
2010-07-01,2010,7,65.60000000000001
2010-08-01,2010,8,211.10000000000002
2010-09-01,2010,9,334.4
2010-10-01,2010,10,187.3
2010-11-01,2010,11,213.0
2010-12-01,2010,12,81.4
2011-01-01,2011,1,84.5
2011-02-01,2011,2,124.00000000000001
2011-03-01,2011,3,198.29999999999998
2011-04-01,2011,4,255.5
2011-05-01,2011,5,230.29999999999998
2011-06-01,2011,6,430.90000000000003
2011-07-01,2011,7,137.49999999999997
2011-08-01,2011,8,102.39999999999999
2011-09-01,2011,9,160.70000000000002
2011-10-01,2011,10,175.2
2011-11-01,2011,11,156.5
2011-12-01,2011,12,110.2
2012-01-01,2012,1,16.1
2012-02-01,2012,2,117.60000000000001
2012-03-01,2012,3,123.40000000000002
2012-04-01,2012,4,104.9
2012-05-01,2012,5,256.6
2012-06-01,2012,6,287.8
2012-07-01,2012,7,225.89999999999998
2012-08-01,2012,8,28.9
2012-09-01,2012,9,120.4
2012-10-01,2012,10,270.40000000000003
2012-11-01,2012,11,113.10000000000001
2012-12-01,2012,12,148.0
2013-01-01,2013,1,22.0
2013-02-01,2013,2,69.3
2013-03-01,2013,3,133.70000000000002
2013-04-01,2013,4,56.800000000000004
2013-05-01,2013,5,199.49999999999997
2013-06-01,2013,6,181.8
2013-07-01,2013,7,148.29999999999998
2013-08-01,2013,8,8.2
2013-09-01,2013,9,180.8
2013-10-01,2013,10,157.49999999999997
2013-11-01,2013,11,197.1
2013-12-01,2013,12,60.9
2014-01-01,2014,1,91.30000000000001
2014-02-01,2014,2,54.800000000000004
2014-03-01,2014,3,82.60000000000001
2014-04-01,2014,4,116.6
2014-05-01,2014,5,257.7
2014-06-01,2014,6,415.59999999999997
2014-07-01,2014,7,332.59999999999997
2014-08-01,2014,8,62.60000000000001
2014-09-01,2014,9,213.10000000000002
2014-10-01,2014,10,162.8
2014-11-01,2014,11,197.79999999999998
2014-12-01,2014,12,125.8
2015-01-01,2015,1,51.3
2015-02-01,2015,2,65.6
2015-03-01,2015,3,106.1
2015-04-01,2015,4,131.3
2015-05-01,2015,5,159.1
2015-06-01,2015,6,216.79999999999998
2015-07-01,2015,7,73.1
2015-08-01,2015,8,25.700000000000003
2015-09-01,2015,9,38.49999999999999
2015-10-01,2015,10,243.20000000000002
2015-11-01,2015,11,280.8
2015-12-01,2015,12,3.8000000000000003
2016-01-01,2016,1,1.9000000000000001
2016-02-01,2016,2,48.300000000000004
2016-03-01,2016,3,199.4
2016-04-01,2016,4,178.5
2016-05-01,2016,5,196.70000000000002
2016-06-01,2016,6,434.09999999999997
2016-07-01,2016,7,92.1
2016-08-01,2016,8,134.20000000000002
2016-09-01,2016,9,128.8
2016-10-01,2016,10,330.59999999999997
2016-11-01,2016,11,264.49999999999994
2016-12-01,2016,12,106.1
2017-01-01,2017,1,29.200000000000003
2017-02-01,2017,2,36.5
2017-03-01,2017,3,134.9
2017-04-01,2017,4,188.50000000000003
2017-05-01,2017,5,222.10000000000005
2017-06-01,2017,6,319.8
2017-07-01,2017,7,122.50000000000003
2017-08-01,2017,8,102.9
2017-09-01,2017,9,165.5
2017-10-01,2017,10,178.20000000000002
2017-11-01,2017,11,265.40000000000003
2017-12-01,2017,12,186.10000000000002
2018-01-01,2018,1,28.4
2018-02-01,2018,2,59.5
2018-03-01,2018,3,128.2
2018-04-01,2018,4,92.8
2018-05-01,2018,5,434.09999999999997
2018-06-01,2018,6,322.7
2018-07-01,2018,7,156.5
2018-08-01,2018,8,36.0
2018-09-01,2018,9,331.7000000000001
2018-10-01,2018,10,167.10000000000002
2018-11-01,2018,11,198.70000000000002
2018-12-01,2018,12,14.9
2019-01-01,2019,1,47.7
2019-02-01,2019,2,71.0
2019-03-01,2019,3,87.00000000000001
2019-04-01,2019,4,214.0
2019-05-01,2019,5,258.5
2019-06-01,2019,6,316.2
2019-07-01,2019,7,65.2
2019-08-01,2019,8,84.5
2019-09-01,2019,9,330.8
